央视,#genre#
广东新闻,https://nclive.grtn.cn/xwpd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=45
广东国际,https://nclive.grtn.cn/gjpd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=46
广东体育,http://live.hcs.cmvideo.cn:8088/wd_r3/2018/nfmedia/gdty/1000/index.m3u8?ProgramID=&encrypt=$咪咕#https://nclive.grtn.cn/typd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=47
广东公共,https://nclive.grtn.cn/ggpd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=48
经济科教,https://nclive.grtn.cn/tvs1hd/hd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=49
广东影视,https://nclive.grtn.cn/tvs4/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=53
广东少儿,https://nclive.grtn.cn/tvs5/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=54
嘉佳卡通,https://nclive.grtn.cn/jjkt/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=66
广东移动,https://szlive.grtn.cn/ydpd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=74

少儿,#genre#
金鹰卡通,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225906/1.m3u8$北京移动
优漫卡通,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225910/1.m3u8$北京移动
哈哈炫动,http://live.hcs.cmvideo.cn:8088/ws_w/2018/xdkt/xdkt711/1000/index.m3u8?ProgramID=&encrypt=
优漫卡通,http://live.hcs.cmvideo.cn:8088/wd_r2/jstv/ymkt/600/index.m3u8?ProgramID=&encrypt=
嘉佳卡通,http://live.hcs.cmvideo.cn:8088/wd_r1/2018/nfmedia/jjkt/1000/index.m3u8?ProgramID=&encrypt=

香港,#genre#
